id,name,category,color,price,sizes,scenes,styles,data_label
TOP001,云感白衬衫,上衣,白色,229,S|M|L|XL,通勤|约会,简约|商务,演示数据（非真实库存）
TOP002,海军蓝针织衫,上衣,藏蓝,269,S|M|L|XL,通勤|休闲,简约|商务,演示数据（非真实库存）
TOP003,燕麦色圆领卫衣,上衣,米色,199,S|M|L|XL,休闲|旅行,休闲|运动,演示数据（非真实库存）
TOP004,雾粉短款开衫,上衣,粉色,239,S|M|L,约会|休闲,简约|休闲,演示数据（非真实库存）
TOP005,炭灰速干夹克,上衣,灰色,329,M|L|XL,旅行|休闲,运动|休闲,演示数据（非真实库存）
TOP006,黑色挺括西装,上衣,黑色,399,S|M|L|XL,通勤|约会,商务|简约,演示数据（非真实库存）
TOP007,天蓝牛津纺衬衫,上衣,蓝色,259,S|M|L|XL,通勤|旅行,简约|休闲,演示数据（非真实库存）
TOP008,森林绿亨利领上衣,上衣,绿色,219,M|L|XL,休闲|约会|旅行,休闲|简约,演示数据（非真实库存）
BOTTOM001,深灰直筒西裤,裤子,灰色,299,S|M|L|XL,通勤|约会,商务|简约,演示数据（非真实库存）
BOTTOM002,黑色九分烟管裤,裤子,黑色,279,S|M|L|XL,通勤|约会,简约|商务,演示数据（非真实库存）
BOTTOM003,浅蓝宽松牛仔裤,裤子,蓝色,249,S|M|L|XL,休闲|旅行|约会,休闲|简约,演示数据（非真实库存）
BOTTOM004,卡其锥形休闲裤,裤子,卡其色,269,S|M|L|XL,通勤|休闲|旅行,简约|休闲,演示数据（非真实库存）
BOTTOM005,墨绿工装裤,裤子,绿色,289,M|L|XL,休闲|旅行,休闲|运动,演示数据（非真实库存）
BOTTOM006,黑色弹力运动裤,裤子,黑色,219,S|M|L|XL,休闲|旅行,运动|休闲,演示数据（非真实库存）
BOTTOM007,米白垂感阔腿裤,裤子,米色,309,S|M|L,通勤|约会,简约|商务,演示数据（非真实库存）
BOTTOM008,藏蓝轻量束脚裤,裤子,藏蓝,259,S|M|L|XL,旅行|休闲,运动|简约,演示数据（非真实库存）
SHOES001,纯白简约板鞋,鞋子,白色,329,36|37|38|39|40|41|42|43|44,通勤|休闲|约会|旅行,简约|休闲,演示数据（非真实库存）
SHOES002,黑色德比鞋,鞋子,黑色,459,38|39|40|41|42|43|44,通勤|约会,商务|简约,演示数据（非真实库存）
SHOES003,灰蓝缓震跑鞋,鞋子,灰色,399,36|37|38|39|40|41|42|43|44,休闲|旅行,运动|休闲,演示数据（非真实库存）
SHOES004,燕麦色乐福鞋,鞋子,米色,389,36|37|38|39|40|41|42,通勤|约会,简约|商务,演示数据（非真实库存）
SHOES005,复古棕色短靴,鞋子,棕色,529,36|37|38|39|40|41|42|43,约会|旅行,休闲|简约,演示数据（非真实库存）
SHOES006,黑色轻量训练鞋,鞋子,黑色,359,36|37|38|39|40|41|42|43|44,休闲|旅行,运动|休闲,演示数据（非真实库存）
SHOES007,藏蓝通勤运动鞋,鞋子,藏蓝,369,36|37|38|39|40|41|42|43|44,通勤|旅行|休闲,运动|简约,演示数据（非真实库存）
SHOES008,卡其帆布鞋,鞋子,卡其色,299,36|37|38|39|40|41|42|43|44,休闲|约会|旅行,休闲|简约,演示数据（非真实库存）
